hostname,thread_count,memory,resillience,performance,parallelization,consumption,country_code,cloud_type,instance_type,ts,stage,frequency
b982b9e9-8479-4631-a516-1f175295bd17,32,251,64,872,"{1,1,0.9889914772727273,0.9364492266308003,0.899547803617571,0.8793811177770761,0.8785488958990537,0.760721114449604,0.7265849204278634,0.7239407330387315,0.7209422728449392,0.7233766233766235,0.7192665289256199,0.7228133921619517,0.7144689584402258,0.7216895568800207,0.6933034602937516,0.6709226692363287,0.6458719851576995,0.6197151757899422,0.6197151757899422,0.6142479047198941,0.599053559905356,0.5852069762555159,0.5808133472367049,0.5769629169256266,0.5631951466127402,0.5583400160384924,0.549418031169856,0.5199775952203137,0.5142171344165436,0.508675799086758}","{0.0260652,0.035952,0.0386484,0.0397719,0.0406707,0.0411201,0.0420189,0.042693,0.042693,0.0420189,0.042693,0.0431424,0.0440412,0.0444906,0.0451647,0.0458388,0.0462882,0.0465129,0.0465129,0.0467376,0.0467376,0.0469623,0.047187,0.0474117,0.0476364,0.0476364,0.0478611,0.0480858,0.0480858,0.0483105,0.0483105,0.0485352,0.0480858}",ES,premises,PowerEdge R440,2021-04-20 07:16:51.218913,prod,1800
e6c53021-f79f-44bc-af94-cf496f143cfe,32,251,64,870,"{1,0.9859913793103449,0.9782608695652174,0.917446524064171,0.8988212180746562,0.8772770853307766,0.8399632802937577,0.7341535169831506,0.7015077945310503,0.7135430205354822,0.7102199223803364,0.7063818836850232,0.7102199223803364,0.7124318712691409,0.703305149884704,0.7102199223803364,0.6814796425024826,0.663203672384634,0.6392640894271077,0.6271418779986291,0.6101355856857079,0.5960912052117264,0.5909580193756727,0.5774084981068573,0.5746284278836089,0.56656346749226,0.5520917135961384,0.5519806957570883,0.5409932991722507,0.5373923257635083,0.5287998458871124,0.5011867810845353}","{0.0260652,0.035952,0.0386484,0.0397719,0.0406707,0.0411201,0.0420189,0.042693,0.042693,0.0420189,0.042693,0.0431424,0.0440412,0.0444906,0.0451647,0.0458388,0.0462882,0.0465129,0.0465129,0.0467376,0.0467376,0.0469623,0.047187,0.0474117,0.0476364,0.0476364,0.0478611,0.0480858,0.0480858,0.0483105,0.0483105,0.0485352,0.0480858}",ES,premises,PowerEdge R440,2021-04-20 07:52:24.210823,prod,1800
7b61cc34-c6a5-4761-92a9-3c6b300f54ba,32,251,64,871,"{1,0.9971243709561466,0.9771046143008101,0.918847300430606,0.9065359477124182,0.8986070618723679,0.8759077991790337,0.7742115545632152,0.7040609137055838,0.7208939708939709,0.6966348568558512,0.7203323811996883,0.7180947450168262,0.7190254017625712,0.7138445702521873,0.7175375064666322,0.6825787401574802,0.6710208030962747,0.6422783051632323,0.6368227731864095,0.6141244188620766,0.6116868798235943,0.594513501928847,0.5905897381307217,0.5765953024319268,0.5697268432943109,0.5600646073087018,0.5521496815286624,0.5468164794007491,0.5262758489850123,0.5129437869822485,0.5010838150289018}","{0.0260652,0.035952,0.0386484,0.0397719,0.0406707,0.0411201,0.0420189,0.042693,0.042693,0.0420189,0.042693,0.0431424,0.0440412,0.0444906,0.0451647,0.0458388,0.0462882,0.0465129,0.0465129,0.0467376,0.0467376,0.0469623,0.047187,0.0474117,0.0476364,0.0476364,0.0478611,0.0480858,0.0480858,0.0483105,0.0483105,0.0485352,0.0480858}",ES,premises,PowerEdge R440,2021-04-20 08:28:22.242959,prod,1800
e6cf6d9c-8667-4aea-8669-6fc6da155197,32,251,65,872,"{1,0.9849246231155779,0.9699540473665607,0.9038208168642952,0.8958537381651976,0.8854469183607616,0.8702822708531557,0.758220502901354,0.7222953408791787,0.7125421968319917,0.7118028534370948,0.696977393954788,0.7112493519958528,0.7112493519958528,0.7081290322580646,0.711065042757191,0.6819085487077535,0.6612048192771085,0.6344508670520231,0.6303698598667585,0.6091009988901221,0.5976911348290134,0.5868263473053893,0.5835814547001276,0.5707154742096506,0.5634496919917864,0.5540076721179084,0.5513361462728551,0.538990375171872,0.50918537762108,0.5097529258777633,0.4971014492753623}","{0.0260652,0.035952,0.0386484,0.0397719,0.0406707,0.0411201,0.0420189,0.042693,0.042693,0.0420189,0.042693,0.0431424,0.0440412,0.0444906,0.0451647,0.0458388,0.0462882,0.0465129,0.0465129,0.0467376,0.0467376,0.0469623,0.047187,0.0474117,0.0476364,0.0476364,0.0478611,0.0480858,0.0480858,0.0483105,0.0483105,0.0485352,0.0480858}",ES,premises,PowerEdge R440,2021-04-20 09:04:19.281037,prod,1800
7bdf0aac-9b1a-4fc6-899b-436cbee6f5c1,32,251,62,869,"{1,0.9981981981981982,0.9729539866526168,0.9217970049916805,0.9025741283805799,0.8973113054745707,0.8740927737456611,0.7876030707989763,0.7219181652332551,0.720041590850013,0.7191069574247143,0.7196674460898934,0.7113507960965588,0.6866633614278631,0.7128152341739578,0.7181747472128597,0.6841195356878241,0.6673090821488799,0.642691415313225,0.6372210720036807,0.6161032028469751,0.6079894644424934,0.5944206008583691,0.5809563758389261,0.5743313290483102,0.5630081300813008,0.5609558525718914,0.5568958584640128,0.5447394296951819,0.5437769925402435,0.512393636699963,0.5063059769694754}","{0.0260652,0.035952,0.0386484,0.0397719,0.0406707,0.0411201,0.0420189,0.042693,0.042693,0.0420189,0.042693,0.0431424,0.0440412,0.0444906,0.0451647,0.0458388,0.0462882,0.0465129,0.0465129,0.0467376,0.0467376,0.0469623,0.047187,0.0474117,0.0476364,0.0476364,0.0478611,0.0480858,0.0480858,0.0483105,0.0483105,0.0485352,0.0480858}",ES,premises,PowerEdge R440,2021-04-20 09:39:49.738717,prod,1800
b06e493c-f7fb-428d-a528-31c3aecd3c99,32,251,62,872,"{1,1.0028797696184304,0.9720865317515701,0.928976325441814,0.9039584685269305,0.8987096774193548,0.8703530146829116,0.7624521072796935,0.7295103430217335,0.7242006758513128,0.723072930184272,0.7236363636363636,0.7206414899120539,0.7152759948652118,0.7081850533807829,0.7219486913708214,0.6887515451174289,0.6719729860106126,0.6452061139416396,0.6404597701149425,0.6167810493690502,0.6094946401225114,0.5958083832335329,0.582723279648609,0.579692051602164,0.5669515669515669,0.5607890499194846,0.5596625150662916,0.5510284810126582,0.5455257489719992,0.519194931047335,0.5098828696925329}","{0.0260652,0.035952,0.0386484,0.0397719,0.0406707,0.0411201,0.0420189,0.042693,0.042693,0.0420189,0.042693,0.0431424,0.0440412,0.0444906,0.0451647,0.0458388,0.0462882,0.0465129,0.0465129,0.0467376,0.0467376,0.0469623,0.047187,0.0474117,0.0476364,0.0476364,0.0478611,0.0480858,0.0480858,0.0483105,0.0483105,0.0485352,0.0480858}",ES,premises,PowerEdge R440,2021-04-20 10:15:15.330855,prod,1800
1b1a8a85-bc92-4e8c-88c8-2b2831aa1d65,32,251,62,871,"{1,0.9985585585585586,0.9868233618233619,0.9248998664886515,0.9043733681462142,0.898799870256244,0.8681077694235588,0.7669526709106006,0.7286352879305811,0.7203015336625943,0.7175038839979286,0.7199272538321642,0.7162057379167744,0.7189932537623249,0.7130725681935152,0.7178756476683937,0.687081576989834,0.6675499879547098,0.6374511157119853,0.6352590554791381,0.6149578339991123,0.5983588857698121,0.5933618843683083,0.5854637650538771,0.5765709529754474,0.5674790088060618,0.5562023283821759,0.5540891821635673,0.5467640094711919,0.5300306044376435,0.5297266297075129,0.5064887589106196}","{0.0260652,0.035952,0.0386484,0.0397719,0.0406707,0.0411201,0.0420189,0.042693,0.042693,0.0420189,0.042693,0.0431424,0.0440412,0.0444906,0.0451647,0.0458388,0.0462882,0.0465129,0.0465129,0.0467376,0.0467376,0.0469623,0.047187,0.0474117,0.0476364,0.0476364,0.0478611,0.0480858,0.0480858,0.0483105,0.0483105,0.0485352,0.0480858}",ES,premises,PowerEdge R440,2021-04-20 10:50:49.666927,prod,1800
fbc79c34-17fb-439a-a047-29cdc37d5fea,32,251,61,870,"{1,0.9859661748830514,0.9607293127629734,0.919463087248322,0.8933811542223671,0.8844415752098127,0.8827319587628866,0.7590027700831025,0.717465305053679,0.7124284971398855,0.7103966813585688,0.7103966813585688,0.7087428867046043,0.7116883116883117,0.7054582904222451,0.7032854209445585,0.6800694961528915,0.6608779546550891,0.6311909698226216,0.6285845377380133,0.6107891217119928,0.5969498910675382,0.5868494324266438,0.5789140080287344,0.569055036344756,0.5661157024793388,0.5508644953759549,0.5515297906602254,0.5391578118850846,0.5284474445515911,0.5162992274354625,0.49628690454627783}","{0.0260652,0.035952,0.0386484,0.0397719,0.0406707,0.0411201,0.0420189,0.042693,0.042693,0.0420189,0.042693,0.0431424,0.0440412,0.0444906,0.0451647,0.0458388,0.0462882,0.0465129,0.0465129,0.0467376,0.0467376,0.0469623,0.047187,0.0474117,0.0476364,0.0476364,0.0478611,0.0480858,0.0480858,0.0483105,0.0483105,0.0485352,0.0480858}",ES,premises,PowerEdge R440,2021-04-20 11:26:10.302032,prod,1800
693d98f1-9719-42da-8bf8-ac4993b33f65,32,251,64,871,"{1,0.977920227920228,0.9747958821441249,0.9038841342988809,0.8985602094240839,0.8889608287471674,0.8775966762543944,0.7927251732101617,0.7171585270305563,0.7139885595423817,0.7126914092914612,0.7134320602753962,0.7075496006183973,0.711767755313634,0.7070030895983521,0.71139896373057,0.6740304369170348,0.6588291746641075,0.6360898772295576,0.631264367816092,0.6072534276868643,0.5989094874591058,0.5914279560628904,0.5799366420274551,0.5723218007503127,0.5678246484698097,0.5515163687487448,0.5485417499001198,0.539807352073914,0.5381148344111307,0.5199772770308654,0.5003644314868805}","{0.0260652,0.035952,0.0386484,0.0397719,0.0406707,0.0411201,0.0420189,0.042693,0.042693,0.0420189,0.042693,0.0431424,0.0440412,0.0444906,0.0451647,0.0458388,0.0462882,0.0465129,0.0465129,0.0467376,0.0467376,0.0469623,0.047187,0.0474117,0.0476364,0.0476364,0.0478611,0.0480858,0.0480858,0.0483105,0.0483105,0.0485352,0.0480858}",ES,premises,PowerEdge R440,2021-04-20 12:01:48.40163,prod,1800
3ccc19bc-701c-465d-861d-200807f97e89,32,251,62,874,"{1,0.9949784791965567,0.965205288796103,0.9428959891230454,0.9077225130890052,0.8876799999999999,0.8527513064863202,0.769700332963374,0.7250392054364871,0.7208939708939709,0.7186528497409326,0.7205194805194804,0.7182806835836354,0.7193983402489625,0.7087378640776698,0.7175375064666322,0.685615422639644,0.6679508788827353,0.6479794440551272,0.6183682567989299,0.6216943074854325,0.608733816107088,0.5941315056757336,0.5836313907006101,0.5765953024319268,0.5719587628865979,0.561424812790933,0.5551330798479087,0.5472479779049122,0.5424325381306218,0.5232974910394265,0.5037225349555111}","{0.0260652,0.035952,0.0386484,0.0397719,0.0406707,0.0411201,0.0420189,0.042693,0.042693,0.0420189,0.042693,0.0431424,0.0440412,0.0444906,0.0451647,0.0458388,0.0462882,0.0465129,0.0465129,0.0467376,0.0467376,0.0469623,0.047187,0.0474117,0.0476364,0.0476364,0.0478611,0.0480858,0.0480858,0.0483105,0.0483105,0.0485352,0.0480858}",ES,premises,PowerEdge R440,2021-04-20 12:37:13.490634,prod,1800
